link,name,old_price,price
https://clickbuy.com.vn/samsung-galaxy-tab-s9-ultra-12gb-256gb-chinh-hang.html,Samsung Galaxy Tab S9 Ultra (5G) 12GB 256GB Chính hãng,[1434.35],[912.61]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-plus-12gb-256gb-chinh-hang.html,Samsung Galaxy Tab S9 Plus Wifi 12GB 256GB Chính hãng,[1130.0],[695.22]
https://clickbuy.com.vn/samsung-galaxy-tab-a7-lite.html,Samsung Galaxy Tab A7 Lite (T225) Chính hãng,[199.57],[121.3]
https://clickbuy.com.vn/samsung-galaxy-z-flip5-8gb-512gb-chinh-hang.html,Samsung Galaxy Z Flip5 8GB 512GB Chính Hãng,[1303.91],[716.96]
https://clickbuy.com.vn/samsung-galaxy-z-fold5-12gb-512gb-chinh-hang.html,Samsung Galaxy Z Fold5 12GB 512GB Chính Hãng,[1956.09],[1260.43]
https://clickbuy.com.vn/samsung-galaxy-s21-fe-5g.html,Samsung Galaxy S21 FE (5G) 8GB 128GB Chính hãng,[738.7],[390.87]
https://clickbuy.com.vn/samsung-galaxy-s20-fe-256gb-fan-edition.html,Samsung Galaxy S20 FE 256GB (Fan Edition) Chính hãng,[673.48],[321.3]
https://clickbuy.com.vn/samsung-galaxy-s23-plus-5g-8gb-256gb-chinh-hang.html,Samsung Galaxy S23 Plus (5G) 8GB 256GB Chính Hãng,[1173.48],[695.22]
https://clickbuy.com.vn/samsung-galaxy-s23-5g-8gb-256gb-chinh-hang.html,Samsung Galaxy S23 (5G) 8GB 256GB Chính Hãng,[1086.52],[686.52]
https://clickbuy.com.vn/samsung-galaxy-s24-ultra-512GB,Samsung Galaxy S24 Ultra (5G) 12GB 512GB Chính Hãng,[1630.0],[1260.43]
https://clickbuy.com.vn/samsung-galaxy-a14-4g-4gb-128gb-chinh-hang.html,Samsung Galaxy A14 (4G) 4GB 128GB Chính Hãng,[195.22],[151.74]
https://clickbuy.com.vn/apple-iphone-14-plus-128gb-chinh-hang-vna.html,iPhone 14 Plus 128GB chính hãng VNA,[1260.43],[899.57]
https://clickbuy.com.vn/apple-iphone-14-128gb-chinh-hang-vna.html,iPhone 14 128GB chính hãng VNA,[1130.0],[782.17]
https://clickbuy.com.vn/iphone-15-pro-max-512gb.html,iPhone 15 Pro Max 512GB Chính Hãng VN/A,[1999.57],[1660.43]
https://clickbuy.com.vn/iphone-15-256gb.html,iPhone 15 256GB Chính Hãng VN/A,,[1064.78]
https://clickbuy.com.vn/iphone-15-pro-max-1tb.html,iPhone 15 Pro Max 1TB Chính Hãng VN/A,,[1930.0]
https://clickbuy.com.vn/iphone-15-plus-256gb.html,iPhone 15 Plus 256GB Chính Hãng VN/A,,[1260.43]
https://clickbuy.com.vn/iphone-15-pro-256gb.html,iPhone 15 Pro 256GB Chính Hãng VN/A,,[1277.83]
https://clickbuy.com.vn/iphone-15-pro-512gb.html,iPhone 15 Pro 512GB Chính Hãng VN/A,,[1556.09]
https://clickbuy.com.vn/iphone-15-pro-1tb.html,iPhone 15 Pro 1TB Chính Hãng VN/A,,[1803.91]
https://clickbuy.com.vn/samsung-galaxy-tab-s7-fe-chinh-hang.html,Samsung Galaxy Tab S7 FE (4G) Chính Hãng,[608.26],[369.13]
https://clickbuy.com.vn/ipad-air-5-2022-5g-256gb-i-chinh-hang-apple-viet-nam.html,iPad Air 5 (2022) 5G 256GB I Chính hãng Apple Việt Nam,[1173.48],[999.57]
https://clickbuy.com.vn/may-tinh-bang-xiaomi-pad-5-6gb-128gb-chinh-hang-dgw.html,Máy tính bảng Xiaomi Pad 5 6GB/128GB- Chính hãng DGW,[390.87],[369.13]
https://clickbuy.com.vn/samsung-galaxy-a05-4g-4gb-128gb-chinh-hang.html,Samsung Galaxy A05 (4G) 4GB 128GB Chính Hãng,[134.35],[121.3]
https://clickbuy.com.vn/samsung-galaxy-a14-4g-6gb-128gb-chinh-hang.html,Samsung Galaxy A14 (4G) 6GB 128GB Chính Hãng,[195.22],[169.13]
https://clickbuy.com.vn/samsung-galaxy-z-flip4-256gb.html,Samsung Galaxy Z Flip4 (5G) 256GB Chính hãng,[1043.04],[590.87]
https://clickbuy.com.vn/iphone-15-plus-512gb.html,iPhone 15 Plus 512GB Chính Hãng VN/A,,[1434.35]
https://clickbuy.com.vn/iphone-15-512gb.html,iPhone 15 512GB Chính Hãng VN/A,,[1303.91]
https://clickbuy.com.vn/iphone-14-pro-max-128gb-cu-dep-99.html,iPhone 14 Pro Max 128GB cũ đẹp 99%,[1477.83],[864.78]
https://clickbuy.com.vn/iphone-14-pro-128gb-cu-dep-99.html,iPhone 14 Pro 128GB cũ đẹp 99%,[1390.87],[747.39]
https://clickbuy.com.vn/iphone-13-pro-max-128gb-chinh-hang-cu-99.html,iPhone 13 Pro Max 128GB Cũ đẹp 99%,[1195.22],[651.74]
https://clickbuy.com.vn/apple-iphone-12-pro-max-128gb-cu-99.html,iPhone 12 Pro Max 128GB cũ đẹp 99%,,[521.3]
